row.ID;study.ID;continent;taxon;taxon.specific;taxon.arthropod.order;taxon.mammal.group;taxon.forest.generalist;metric;metric.specific;disturbance;disturbance.specific;matrix;distance.p.d;time;effect.direction;p.mean;p.sd;p.n;d.mean;d.sd;d.n;hedges.g*
47;4;CA;p;tree seedlings <1 m dbh, tool handle use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;750.5;74.47818473;3;345.6;182.9103606;5;2.265495464
48;4;CA;p;tree seedlings <1 m dbh, resins use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;445.8;410.8424516;3;321.1;224.0540113;5;0.361991381
49;4;CA;p;tree seedlings <1 m dbh, box and crate use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;229;138.2176544;3;282.2;196.5503752;5;-0.258111587
50;4;CA;p;tree seedlings <1 m dbh, charcoal use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;206.5;88.68100135;3;139.1;251.3340407;5;0.277104334
51;4;CA;p;tree seedlings <1 m dbh, fencepost use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;188.1;120.5507362;3;69.5;50.31152949;5;1.27607166
52;4;CA;p;tree seedlings <1 m dbh, matchstick use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;112.5;67.20357133;3;94.1;109.5673309;5;0.164080789
53;4;CA;p;tree seedlings <1 m dbh, cordage use category;;;;dem;Mean density (stems/ha);sec;second growth;NA;NA;15;p;40.9;77.94228634;3;161.6;100.3994522;5;-1.122350993
54;4;CA;p;woody species;;;;dem;Sapling density (no./ha);sec;second growth;NA;NA;15;d;6338;1307.080334;3;7004;1030.383084;5;0.512428727
55;4;CA;p;woody species;;;;dem;Seedling density (no./ha);sec;second growth;NA;NA;15;d;14279;2620.248143;3;12753;2171.877068;5;-0.56928033
56;4;CA;p;trees, >30 cm dbh high quality timber species;;;;for;Mean basal area (m^2/ha);sec;second growth;NA;NA;15;p;03.mars;2.407550623;3;feb.42;2.705642253;5;0.203226745
57;4;CA;p;trees, 10-30 cm dbh high quality timber species;;;;for;Mean basal area (m^2/ha);sec;second growth;NA;NA;15;p;0.3;0.103923048;3;0.59;0.670820393;5;-0.457666658
58;4;CA;p;trees, >30 cm dbh low to moderate quality timber species;;;;for;Mean basal area (m^2/ha);sec;second growth;NA;NA;15;p;nov.42;1.472243186;3;nov.82;6.328072376;5;-0.066425933
59;4;CA;p;trees, 10-30 cm dbh low to moderate quality timber species;;;;for;Mean basal area (m^2/ha);sec;second growth;NA;NA;15;p;jan.86;0.744781847;3;mai.22;0.670820393;5;-4.195805473
60;4;CA;p;trees >5 cm dbh, medicine use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;433.45;73.49091577;3;741.51;140.2461835;5;-2.19358998
61;4;CA;p;trees >5 cm dbh, construction use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;470.6;25.58239043;3;452.24;66.0087267;5;0.285689543
62;4;CA;p;trees >5 cm dbh, timber use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;196.09;35.12599038;3;406.38;61.89436162;5;-3.358090064
63;4;CA;p;trees >5 cm dbh, firewood use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;334.66;28.78668442;3;402.97;65.98636602;5;-1.053512012
64;4;CA;p;trees >5 cm dbh, crafts use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;263;57.52140732;3;215.11;90.76199921;5;0.512800513
65;4;CA;p;trees >5 cm dbh, food use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;268.8;28.76936391;3;204.31;115.492911;5;0.585666143
66;4;CA;p;trees >5 cm dbh, tool handle use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;84.63;19.20844346;3;160.31;49.5289057;5;-1.569368336
